Posición, punto
1077,"(1035, 21155)"
1078,"(1037, 8401)"
1079,"(1037, 22276)"
1080,"(1042, 14856)"
1081,"(1042, 15821)"
1082,"(1045, 4634)"
1083,"(1045, 26043)"
1084,"(1047, 7499)"
1085,"(1047, 23178)"
1086,"(1050, 11055)"
1087,"(1050, 19622)"
1088,"(1051, 10859)"
1089,"(1051, 19818)"
1090,"(1054, 3611)"
1091,"(1054, 27066)"
1092,"(1058, 12451)"
1093,"(1058, 18226)"
1094,"(1060, 5327)"
1095,"(1060, 25350)"
1096,"(1061, 2216)"
1097,"(1061, 28461)"
1098,"(1064, 15049)"
1099,"(1064, 15628)"
1100,"(1066, 8567)"
1101,"(1066, 22110)"
1102,"(1067, 13452)"
1103,"(1067, 17225)"
1104,"(1068, 3411)"
1105,"(1068, 27266)"
1106,"(1069, 9035)"
1107,"(1069, 21642)"
1108,"(1071, 13073)"
1109,"(1071, 17604)"
1110,"(1072, 14922)"
1111,"(1072, 15755)"
1112,"(1074, 11619)"
1113,"(1074, 19058)"
1114,"(1075, 737)"
1115,"(1075, 29940)"
1116,"(1077, 12252)"
1117,"(1077, 18425)"
1118,"(1081, 12811)"
1119,"(1081, 17866)"
1120,"(1083, 3365)"
1121,"(1083, 27312)"
1122,"(1084, 15253)"
1123,"(1084, 15424)"
1124,"(1085, 7967)"
1125,"(1085, 22710)"
1126,"(1087, 1585)"
1127,"(1087, 29092)"
1128,"(1088, 13029)"
1129,"(1088, 17648)"
1130,"(1090, 8851)"
1131,"(1090, 21826)"
1132,"(1093, 4766)"
1133,"(1093, 25911)"
1134,"(1094, 8244)"
1135,"(1094, 22433)"
1136,"(1095, 3923)"
1137,"(1095, 26754)"
1138,"(1097, 1622)"
1139,"(1097, 29055)"
1140,"(1100, 4340)"
1141,"(1100, 26337)"
1142,"(1105, 15094)"
1143,"(1105, 15583)"
1144,"(1106, 1608)"
1145,"(1106, 29069)"
